Component,Power_W,Theta_JA,Theta_JC,Description
C1,0.006,100,,CL31B106KBHNNNE
C2,0.006,100,,CL31B106KBHNNNE
C3,0.006,100,,885012206095
C4,0.006,100,,885012206095
C8,0.006,100,,885012206095
C5,0.006,100,,885012206065
C7,0.006,100,,885012206065
C6,0.006,100,,GRM1885C1H272JA01D
C9,0.006,125,,CL32B226KOJNNNE
C10,0.006,125,,CL32B226KOJNNNE
C11,0.006,125,,CL32B226KOJNNNE
C12,0.006,125,,CL32B226KOJNNNE
L1,0.2,30,,7447797360
L2,0.2,30,,SRP7050AA-100M
R1,0.001,50,,CRCW0603100KFKEA
R2,0.001,50,,CR0603-FX-1582ELF
R3,0.001,50,,ERA-3AEB222V
R4,0.001,50,,AT0603DRD07100RL
RV1,0.001,50,,TC33X-1-473E
U1,0.85,160,,AP64501SP-13
